institution_name,pays,type_financement
"Academic Computer Centre Cyfronet, AGH University of Science and Technology",Poland,0
"Academic Senate, University of California, Riverside",United States,0
Academisch Medisch Centrum,Netherlands,0
Academy of Applied Science,United States,0
Academy of Finland,Finland,0
Academy of Korean Studies,South Korea,0
Academy of Medical Sciences,United Kingdom,0
Academy of Natural Sciences of Drexel University,United States,0
Academy of Neonatal Nursing,United States,1
Academy of Nutrition and Dietetics,United States,1
Academy of Scientific Research and Technology,Egypt,0
Academy of Scientific and Innovative Research,India,0
Academy of Veterinary Dentistry,United States,1
Acadia University,Canada,0
Académie Hassan II des Sciences et Techniques,Morocco,0
Académie Hassan II des Sciences et Techniques,Morocco,0
Académie Nationale de Médecine,France,0
Académie Universitaire 'Louvain,Belgium,0
Académie d'agriculture de France,France,0
Académie de recherche et d'enseignement supérieur,Belgium,0
"Académie des Sciences, Institut de France",France,0
Académie française,France,0
Accademia Nazionale dei Lincei,Italy,0
Accare,Netherlands,1
Accelerated Innovation Research Initiative Turning Top Science and Ideas into High-Impact Values,Japan,0
Acceleron,United States,1
Accenture,Ireland,1
Achaogen,United States,1
Achievement Rewards for College Scientists Foundation,United States,1
Acorda Therapeutics,United States,1
Acoustical Society of America,United States,0
Actavis Deutschland,Germany,1
Actelion Pharmaceuticals,Switzerland,1
Actinium Pharmaceuticals,United States,1
Action Contre La Faim,France,0
Action Damien,Belgium,0
Action LIONS Vaincre le Cancer,France,0
Action Medical Research,United Kingdom,0
Action on Hearing Loss,United Kingdom,0
Active and Assisted Living programme,European Union,2
ActoGeniX,Belgium,1
Ad Astra Chandaria Foundation,Kenya,1
Adamas Pharmaceuticals,United States,1
Adams State University,United States,0
Adaptable and Seamless Technology Transfer Program through Target-Driven R and D,Japan,0
Addis Ababa University,Ethiopia,0
"Adelaide Research and Innovation, University of Adelaide",Australia,0
Adenoid Cystic Carcinoma Research Foundation,United States,1
Administration for Community Living,United States,0
Adobe Systems,United States,1
Adolf Messer Stiftung,Germany,1
"Adolph C. and Mary Sprague Miller Institute for Basic Research in Science, University of California Berkeley",United States,0
Adolphe Merkle Foundation,Switzerland,1
Advance Queensland,Australia,0
Advanced Accelerator Applications,France,1
Advanced Cardiac Therapeutics,United States,1
Advanced Exploration Systems,United States,0
Advanced Foods and Materials Canada,Canada,0
Advanced Foods and Materials Network,Canada,2
Advanced Light Source,United States,0
Advanced Low Carbon Technology Research and Development Program,Japan,0
Advanced Manufacturing Office,United States,0
Advanced Medical Research Foundation,United States,1
Advanced Micro Devices,United States,1
Advanced Research Projects Agency,United States,0
Advanced Research Projects Agency - Energy,United States,0
Advanced Science Institute,Japan,1
Advanced Scientific Computing Research,United States,0
Advanced Storage Research Consortium,United States,2
Advantage West Midlands,United Kingdom,0
Aeglea BioTherapeutics,United States,1
Aeras Global Tuberculosis Vaccine Foundation,United States,1
AeroDynamic Solutions,United States,1
Aeronautical Science Foundation of China,China,0
Aeronautics Research Mission Directorate,United States,0
Aerosol Society,United Kingdom,2
Aerostatic Science Foundation,China,0
Aesculap Implant Systems,United States,1
Aflac,United States,1
African Academy of Sciences,Kenya,0
African Development Bank Group,Ivory Coast,0
African Mathematics Millennium Science Initiative,South Africa,2
African Population and Health Research Center,Kenya,0
African Union,Ethiopia,0
African University of Science and Technology,Nigeria,0
"AgBioResearch, Michigan State University",United States,0
AgResearch,New Zealand,0
Against Breast Cancer,United Kingdom,1
Age UK,United Kingdom,1
Agence Française de Développement,France,0
Agence Française de Lutte contre le Dopage,France,0
Agence Française de Sécurité Sanitaire de l'Environnement et du Travail,France,0
Agence Française de Sécurité Sanitaire des Produits de Santé,France,0
Agence Nationale Des Parcs Nationaux,France,0
Agence Nationale de Recherches sur le Sida et les Hépatites Virales,France,0
"Agence Nationale de Sécurité Sanitaire de l'Alimentation, de l'Environnement et du Travail",France,0
Agence Nationale de Sécurité du Médicament et des Produits de Santé,France,0
Agence Nationale de la Recherche,France,0
Agence Nationale pour la Gestion des Déchets Radioactifs,France,0
Agence Nationale pour le Développement de la Recherche Universitaire,Algeria,0
Agence Nationale pour le Développement de la Recherche en Santé,Algeria,0
Agence Régionale de Santé Hauts-de-France,France,0
Agence Régionale de Santé Île-de-France,France,0
Agence Thématique de Recherche en Science et Technologie,Tunisia,0
Agence Universitaire de la Francophonie,France,0
"Agence de Santé de Guadeloupe, Saint-Martin, Saint-Barthélemy",France,0
Agence de l'Eau Adour-Garonne,France,0
Agence de l'Eau Rhône Méditerranée Corse,France,0
Agence de l'Eau Seine-Normandie,France,0
Agence de l'Environnement et de la Maîtrise de l'Energie,France,0
Agence de l'eau Loire-Bretagne,France,0
Agence de l'innovation de Défense,France,0
Agence de la Biomédecine,France,0
Agence de la transition écologique,France,0
Agence de l'Eau Rhin-Meuse,France,0
Agence des Aires Marines Protégées,France,0
Agence française pour la biodiversité,France,0
Agence régionale de santé Provence-Alpes-Côte d'Azur,France,0
"Agencia Canaria de Investigación, Innovación y Sociedad de la Información",Spain,0
Agencia Española de Cooperación Internacional para el Desarrollo,Spain,0
Agencia Estatal de Investigación,Spain,0
Agencia Nacional de Investigación e Innovación,Uruguay,0
Agencia Nacional de Investigación y Desarrollo,Chile,0
Agencia Nacional de Promoción Científica y Tecnológica,Argentina,0
"Agencia Nacional de Promoción de la Investigación, el Desarrollo Tecnológico y la Innovación",Argentina,0
"Agencia Santafesina de Ciencia, Tecnología e Innovación",Argentina,0
Agencia de Cooperación Internacional de Las Illes Balears,Spain,0
Agencia de Innovación y Desarrollo de Andalucía,Spain,0
Agencja Badań Medycznych,Poland,0
Agency for Defense Development,South Korea,0
Agency for Healthcare Research and Quality,United States,0
Agency for Natural Resources and Energy,Japan,0
"Agency for Science, Technology and Research",Singapore,0
Agency for Toxic Substances and Disease Registry,United States,0
Agentschap Innoveren en Ondernemen,Belgium,0
Agentschap NL,Netherlands,0
Agentschap voor Innovatie door Wetenschap en Technologie,Belgium,0
Agentschap voor Natuur en Bos,Belgium,0
Agentura Pro Zdravotnický Výzkum České Republiky,Czech Republic,0
"Agentúra Ministerstva Školstva, Vedy, Výskumu a Športu SR",Slovakia,0
Agentúra na Podporu Výskumu a Vývoja,Slovakia,0
"Agenzia Italiana del Farmaco, Ministero della Salute",Italy,0
Agenzia Nazionale di Valutazione del Sistema Universitario e della Ricerca,Italy,0
"Agenzia Nazionale per le Nuove Tecnologie, l'Energia e lo Sviluppo Economico Sostenibile",Italy,0
Agenzia Sanitaria Regionale Abruzzo,nan,0
"Agenzia Sanitaria e Sociale Regionale, Regione Emilia-Romagna",Italy,0
Agenzia Spaziale Italiana,Italy,0
Agenția Națională pentru Cercetare și Dezvoltare,Romania,0
Agenția Spațială Română,Romania,0
Agilent Foundation,United States,1
Agilent Technologies,United States,1
Agios Pharmaceuticals,United States,1
Agir pour les Maladies Chroniques,France,1
Agnes og Poul Friis Fond,Denmark,1
Agneta Prytz-Folkes och Gösta Folkes Stiftelse,Sweden,1
Agouron Institute,United States,1
AgreenSkills,France,2
Agricultural Biotechnology Research Institute of Iran,Iran,0
"Agricultural Center, Louisiana State University",United States,0
Agricultural Research Council,South Africa,0
Agricultural Research Development Agency,Thailand,0
Agricultural Research Service,United States,0
Agricultural Science and Technology Innovation Program,China,0
Agricultural Technology Adoption Initiative,United States,0
Agricultural and Marketing Research and Development Trust,New Zealand,0
Agriculture Research System of China,China,0
Agriculture and Agri-Food Canada,Canada,0
Agrifutures Australia,Australia,0
Agrisearch,Ireland,0
Agro-Biotechnology Institute,Malaysia,0
AgroParisTech,France,0
AgroSup Dijon,France,0
Agropolis Fondation,France,2
Agroscope,Switzerland,0
Agència Catalana de l'Aigua,Spain,0
Agència de Gestió d'Ajuts Universitaris i de Recerca,Spain,0
Agència per a la Competitivitat de l'Empresa,Spain,0
Agência Nacional de Energia Elétrica,Brazil,0
Agência Nacional de Inovação,Brazil,0
Agência Nacional de Águas,Brazil,0
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis",Brazil,0
"Agência Regional para o Desenvolvimento da Investigação, Tecnologia e Inovação",Portugal,0
Ahmanson Foundation,United States,1
Ahvaz Jundishapur University of Medical Sciences,Iran,0
Aimmune Therapeutics,United States,1
Ain Shams University,Egypt,0
Air Force Civil Engineer Center,United States,0
Air Force Institute of Technology,United States,0
Air Force Materiel Command,United States,0
Air Force Office of Scientific Research,United States,0
Air Force Research Laboratory,United States,0
Air Force Surgeon General,United States,0
Air Liquide,France,1
Airbus,France,1
Airbus UK,United Kingdom,1
Aix-Marseille Université,France,0
Ajinomoto Pharmaceuticals,Japan,1
Ajou University,South Korea,0
Akademi Sains Malaysia,Malaysia,0
Akademia Górniczo-Hutnicza im. Stanislawa Staszica,Poland,0
Akademie Věd České Republiky,Czech Republic,0
Akademie der Naturwissenschaften,Switzerland,0
Akademie der Wissenschaften zu Göttingen,Germany,0
Akademiska Sjukhuset,Sweden,0
Akdeniz Üniversitesi,Turkey,0
Akebia Therapeutics,United States,1
Aker BP,Norway,1
Akershus Universitetssykehus,Norway,0
Al Jalila Foundation,United Arab Emirates,1
Al Jouf University,Saudi Arabia,0
Al-Azhar University,Egypt,0
Al-Imam Muhammad Ibn Saud Islamic University,Saudi Arabia,0
Alabama Academy of Science,United States,0
Alabama Agricultural Experiment Station,United States,0
Alabama Commission on Higher Education,United States,0
Alabama Department of Transportation,United States,0
Alabama EPSCoR,United States,0
Alabama Farmers Federation,United States,1
"Alabama Soybean Producers, Alabama Farmers Federation",United States,1
Alabama Space Grant Consortium,United States,0
Alagille Syndrome Alliance,United States,1
Alan B. Slifka Foundation,United States,1
Alan Turing Institute,United Kingdom,2
Alaska Department of Fish and Game,United States,0
Alaska Department of Transportation and Public Facilities,United States,0
Alaska Fisheries Science Center,United States,0
Alaska Pacific University,United States,0
Alaska Space Grant Program,United States,0
Albert Einstein Cancer Center,United States,0
"Albert Einstein College of Medicine, Yeshiva University",United States,1
Albert Ellis Institute,United States,1
Albert-Ludwigs-Universität Freiburg,Germany,0
Alberta Cancer Foundation,Canada,1
Alberta Canola Producers Commission,Canada,1
Alberta Children's Hospital Foundation,Canada,2
Alberta Children's Hospital Research Institute,Canada,2
Alberta Conservation Association,Canada,0
Alberta Glycomics Centre,Canada,2
Alberta Health,Canada,0
Alberta Heritage Foundation for Medical Research,Canada,2
Alberta Innovates,Canada,2
Alberta Innovates - Health Solutions,Canada,2
Alberta Innovates - Technology Futures,Canada,2
Alberta Innovates Bio Solutions,Canada,2
Alberta Livestock and Meat Agency,Canada,0
Alberta Mennega Stichting,Netherlands,1
Alberta Parks,Canada,0
Alberta Prion Research Institute,Canada,2
Alborada Trust,United Kingdom,1
Alcoa,United States,1
Alcoa Foundation,United States,1
Alcohol Advisory Council of New Zealand,New Zealand,0
"Alcohol and Drug Abuse Institute, University of Washington",United States,0
Alcon,Switzerland,1
Alcon Research Institute,United States,1
Alere,United States,1
Alex C. Walker Educational and Charitable Foundation,United States,1
Alex's Lemonade Stand Foundation for Childhood Cancer,United States,1
Alexander Mosley Charitable Trust,United Kingdom,1
Alexander S. Onassis Public Benefit Foundation,Greece,1
Alexander and Margaret Stewart Trust,United Kingdom,1
Alexander von Humboldt-Stiftung,Germany,0
Alexion Pharmaceuticals,United States,1
Alfons und Gertrud Kassel-Stiftung,Germany,1
Alfred Benzon Foundation,Denmark,1
Alfred Kordelinin Säätiö,Finland,0
Alfred P. Sloan Foundation,United States,1
Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research,Germany,0
Alfred Österlunds Stiftelse,Sweden,1
Alfried Krupp von Bohlen und Halbach-Stiftung,Germany,1
Alice Kleberg Reynolds Foundation,United States,1
Aligning Science Across Parkinson's,United States,2
Alimera Sciences,United States,1
Alkoholitutkimussäätiö,Finland,1
All-India Institute of Medical Sciences,India,0
Allegheny Technologies Incorporated,United States,1
Allen Discovery Center,United States,1
Allen Foundation,United States,1
Allen Institute for Artificial Intelligence,United States,1
Allergan,Ireland,1
Allergan Foundation,United States,1
Allergopharma,Germany,1
Allgemeine Unfallversicherungsanstalt,Austria,0
Alliance Française contre les Maladies Parasitaires,France,0
Alliance Nationale pour les Sciences de la Vie et de la Santé,France,0
Alliance de recherche numérique du Canada,Canada,2
Alliance for Cancer Gene Therapy,United States,1
Alliance for Clinical Trials in Oncology Foundation,United States,1
Alliance for Epilepsy Research,Germany,1
Alliance for Health Policy and Systems Research,Switzerland,2
Alliance for Lupus Research,United States,1
Allianz Industrie Forschung,Germany,2
Allos Therapeutics,United States,1
Almirall,Spain,1
Alnylam Pharmaceuticals,United States,1
Alpha Foundation for the Improvement of Mine Safety and Health,United States,0
Alpha Omega Alpha Honor Medical Society,United States,1
Alpha-1 Foundation,United States,1
Alphawood Foundation,United States,1
Alternatives Research and Development Foundation,United States,1
Alvin J. Siteman Cancer Center,United States,0
Alzahra University,Iran,0
Alzheimer Forschung Initiative,Germany,1
Alzheimer Nadační Fond,Czech Republic,1
Alzheimer Nederland,Netherlands,1
Alzheimer Society,Canada,1
Alzheimer Society of B.C.,Canada,1
Alzheimer's Association,United States,1
Alzheimer's Disease Neuroimaging Initiative,United States,2
Alzheimer's Disease Research Foundation,United States,1
Alzheimer's Drug Discovery Foundation,United States,1
Alzheimer's Foundation of America,United States,1
Alzheimer's Research Foundation,United States,1
Alzheimer's Research Trust,United Kingdom,1
Alzheimer's Society,United Kingdom,1
Alzheimerfonden,Sweden,1
Alzheimer's Research UK,United Kingdom,1
Alzheimer's Society,United Kingdom,1
Amada Foundation,United States,1
Amaldi Research Center,Italy,0
Amarin Corporation,United States,1
Amarin Pharma,United States,1
Amazon Catalyst,United States,1
Amazon Conservation Association,United States,1
Amazon Web Services,United States,1
Ambassade de France à Moscou,France,0
Ambilight,Netherlands,1
Ambrose Monell Foundation,United States,1
American Academy of Allergy Asthma and Immunology,United States,0
"American Academy of Allergy, Asthma and Immunology Foundation",United States,1
American Academy of Arts and Sciences,United States,0
American Academy of Dermatology,United States,0
American Academy of Neurology,United States,0
American Academy of Ophthalmology,United States,0
American Academy of Pediatrics,United States,0
American Academy of Periodontology Foundation,United States,1
American Alpine Club,United States,1
American Association for Anatomy,United States,0
American Association for Cancer Research,United States,0
"American Association for Dental, Oral, and Craniofacial Research",United States,0
American Association for Thoracic Surgery,United States,0
American Association for the Advancement of Science,United States,0
American Association for the Study of Liver Diseases,United States,0
American Association of Anatomists,United States,0
American Association of Colleges of Pharmacy,United States,0
American Association of Immunologists,United States,0
American Association of Neurological Surgeons,United States,0
American Association of Orthodontists Foundation,United States,1
American Association of Petroleum Geologists,United States,0
American Association of Pharmaceutical Scientists,United States,0
American Association of Physicists in Medicine,United States,0
American Association of University Women,United States,0
American Asthma Foundation,United States,1
American Astronomical Society,United States,0
American Australian Association,United States,1
American Beverage Association,United States,1
American Brain Tumor Association,United States,1
American Breast Cancer Foundation,United States,1
American Cancer Society,United States,0
"American Center for Reproductive Medicine, Cleveland Clinic",United States,0
American Chemical Society,United States,0
American Chemical Society Petroleum Research Fund,United States,0
American Chemistry Council,United States,1
American Clinical Neurophysiology Society,United States,0
American College of Cardiology Foundation,United States,0
American College of Gastroenterology,United States,0
American College of Radiology,United States,1
American College of Radiology Imaging Network,United States,1
American College of Rheumatology Research and Education Foundation,United States,1
American College of Sports Medicine,United States,1
American College of Surgeons,United States,1
American College of Veterinary Internal Medicine,United States,1
American College of Veterinary Internal Medicine Foundation,United States,1
American College of Veterinary Surgeons Foundation,United States,1
American Committee for the Weizmann Institute of Science,United States,1
American Concrete Institute Foundation,United States,1
American Council of Learned Societies,United States,1
American Dental Education Association,United States,1
American Diabetes Association,United States,1
American Diabetes Association Research Foundation,United States,1
American Economic Association,United States,1
American Educational Research Association,United States,1
American Epilepsy Society,United States,1
American Federation for Aging Research,United States,1
American Foundation for Aging Research,United States,1
American Foundation for Pharmaceutical Education,United States,1
American Foundation for Suicide Prevention,United States,1
American Friends of the Alexander von Humboldt Foundation,United States,1
American Gastroenterological Association,United States,1
American Geriatrics Society,United States,1
American Headache Society,United States,1
American Health Assistance Foundation,United States,1
American Hearing Research Foundation,United States,1
American Heart Association,United States,1
American Historical Association,United States,1
American Hospital Association,United States,0
American Institute for Cancer Research,United States,1
American Institute for Maghrib Studies,United States,1
American Institute for Yemeni Studies,United States,1
American Institute of Biological Sciences,United States,1
American Institute of Bisexuality,United States,1
American Institute of Chemical Engineers,United States,1
American Institute of Mathematics,United States,1
American Institute of Pakistan Studies,United States,1
American Institute of Physics,United States,1
American Institutes for Research,United States,0
American International Group,United States,1
American Kennel Club Canine Health Foundation,United States,1
American Kidney Fund,United States,1
American Lebanese Syrian Associated Charities,United States,1
American Leprosy Missions,United States,1
American Library Association,United States,1
American Lung Association,United States,1
American Macular Degeneration Foundation,United States,1
American Malacological Society,United States,1
American Malting Barley Association,United States,1
American Mathematical Society,United States,1
American Microscopical Society,United States,1
American Museum of Natural History,United States,0
American Nurses Foundation,United States,1
American Occupational Therapy Foundation,United States,1
American Orchid Society,United States,1
American Ornithological Society,United States,1
American Ornithologists' Union,United States,1
American Otological Society,United States,1
American Parkinson Disease Association,United States,1
American Petroleum Institute,United States,1
American Philosophical Society,United States,1
American Physical Therapy Association,United States,1
American Physicians Fellowship for Medicine in Israel,United States,1
American Political Science Association,United States,1
American Psychiatric Institute for Research and Education,United States,1
American Psychological Association,United States,1
American Psychological Association of Graduate Students,United States,1
American Red Cross,United States,0
American Regent,United States,1
American Research Center in Egypt,United States,0
American Research Institute in Turkey,United States,0
American Research Institute of the South Caucasus,United States,0
American Roentgen Ray Society,United States,1
American School of Classical Studies at Athens,United States,0
American Sheep Industry Association,United States,1
American Skin Association,United States,1
American Sleep Medicine Foundation,United States,1
American Society for Biochemistry and Molecular Biology,United States,1
American Society for Blood and Marrow Transplantation,United States,1
American Society for Bone and Mineral Research,United States,1
American Society for Engineering Education,United States,1
American Society for Laser Medicine and Surgery,United States,1
American Society for Microbiology,United States,1
American Society for Radiation Oncology,United States,1
American Society for Reconstructive Microsurgery,United States,1
American Society for Reproductive Medicine,United States,1
American Society for Transplantation and Cellular Therapy,United States,1
American Society of Clinical Oncology,United States,1
American Society of Echocardiography,United States,1
American Society of Hematology,United States,1
American Society of Ichthyologists and Herpetologists,United States,1
American Society of Mammalogists,United States,1
American Society of Nephrology,United States,1
American Society of Neuroradiology,United States,1
American Society of Plant Taxonomists,United States,1
American Society of Primatologists,United States,1
American Society of Transplantation,United States,1
American Society of Tropical Medicine and Hygiene,United States,1
American Surgical Association Foundation,United States,1
American Thoracic Society,United States,1
American Thyroid Association,United States,1
American University,United States,1
American University in Cairo,Egypt,1
American University of Beirut,Lebanon,1
American University of Sharjah,United Arab Emirates,1
American Urogynecologic Society,United States,1
American Urological Association Foundation,United States,1
American Vein and Lymphatic Society,United States,1
American Veterinary Medical Foundation,United States,1
American Vineyard Foundation,United States,1
American Water Works Association Research Foundation,United States,1
American Welding Society,United States,1
American-Italian Cancer Foundation,United States,1
American-Scandinavian Foundation,United States,1
Ames Laboratory,United States,0
Ames Research Center,United States,0
Amgen,United States,1
Amgen Astellas Biopharma,Japan,1
Amgen Canada,Canada,1
Amgen Foundation,United States,1
Amgen Nederland,Netherlands,1
Amherst College,United States,1
Amicus Therapeutics,United States,1
Amis de l'Institut Bordet,Belgium,0
Amneal Pharmaceuticals,United States,1
Amon G. Carter Foundation,United States,1
Amorepacific Corporation,South Korea,1
Amorfix Life Sciences,Canada,1
Amplyx,United States,1
Amschwand Sarcoma Cancer Foundation,United States,1
Amsterdam Brain and Cognition,Netherlands,2
Amsterdam University Medical Centers,Netherlands,0
Amylin Pharmaceuticals,United States,1
Amyloidosis Foundation,United States,1
An Roinn Sláinte,Ireland,0
Anacostia Community Museum,United States,0
Anadolu Üniversitesi,Turkey,0
Analog Devices,United States,1
Analyses et Expérimentations pour les Ecosystèmes,France,0
Ananda Mahidol Foundation,Thailand,1
Anatomical Society,United Kingdom,1
Anders Jahres Humanitære Stiftelse,Norway,1
"Anderson School of Management, University of California, Los Angeles",United States,0
"Andlinger Center for Energy and the Environment, Princeton University",United States,1
Andrew David Heitman Foundation,United States,1
Andrew McDonough B+ Foundation,United States,1
Andrew Sabin Family Foundation,United States,1
Andrew W. Mellon Foundation,United States,1
Andy Hill CARE Fund,United States,1
Aneurysm and AVM Foundation,United States,1
Angela Wright Bennett Foundation,Australia,1
Angelini Pharma,Italy,1
Angelman Syndrome Foundation,United States,1
Angers Loire Métropole,France,0
Anglo-Australian Observatory,Australia,0
Anhui Jianzhu University,China,0
Anhui Medical University,China,0
Anhui Normal University,China,0
Anhui Provincial Department of Education,China,0
Anhui Provincial Key Research and Development Plan,China,0
Anhui University of Science and Technology,China,0
Animal Behavior Society,United States,1
Animal Health and Welfare ERA-Net,European Union,2
Animal Welfare Institute,United States,1
Animal and Plant Health Agency,United Kingdom,0
Animal and Plant Health Inspection Service,United States,0
Animal and Plant Quarantine Agency,South Korea,0
Ankara Numune Egitim ve Arastirma Hastanesi,Turkey,0
Ankara Universitesi,Turkey,0
Ankara Yıldırım Beyazıt Üniversitesi,Turkey,0
Ann and Gordon Getty Foundation,United States,1
Anna Foundation,South Africa,1
Anna Needs Neuroblastoma Answers,United States,1
Anna University,India,0
Anna-Lisa och Bror Björnssons Stiftelse,Sweden,1
Annenberg Foundation,United States,1
"Annenberg School for Communication and Journalism, University of Southern California",United States,0
Annie E. Casey Foundation,United States,1
Anschutz Foundation,United States,1
"Anschutz Medical Campus, University of Colorado",United States,0
Ant Financial Services Group,China,1
Antarctic Climate and Ecosystems Cooperative Research Centre,Australia,2
Antarctica New Zealand,New Zealand,0
Anthera,United States,1
Anthony Nolan,United Kingdom,1
Anthony Nolan Research Institute,United Kingdom,1
Anticancer Fund,Belgium,2
Apellis Pharmaceuticals,United States,1
Apex Foundation,United States,1
Aplastic Anemia and MDS International Foundation,United States,1
Aplastic Anemia and Myelodysplasia Association of Canada,Canada,1
Apollomics,United States,1
Appalachian Regional Commission,United States,0
Appalachian State University,United States,0
Applied Basic Research Foundation of Yunnan Province,China,0
Applied Basic Research Program of Sichuan Province,China,0
Applied Materials,United States,1
"Applied Physics Laboratory, Johns Hopkins University",United States,0
Applied Scientific Research Fund,Netherlands,0
Aptitude Health,United States,1
ArQule,United States,1
Ara Parseghian Medical Research Foundation,United States,1
Ara Parseghian Medical Research Fund,United States,1
Arab Fund for Economic and Social Development,Kuwait,1
Arabian Gulf University,Bahrain,0
Arcadia Fund,United Kingdom,1
ArcelorMittal,Luxembourg,1
ArcelorMittal Maizières Research,France,1
Archaeological Institute of America,United States,1
Archer Daniels Midland,United States,1
Arctic Goose Joint Venture,Canada,2
Arctic Institute of North America,Canada,0
Arctic Landscape Conservation Cooperative,United States,0
ArcticNet,Canada,2
Arcus Foundation,United States,1
Areva,France,0
Argenx,Belgium,1
Argonne National Laboratory,United States,0
Ariad Pharmaceuticals,United States,1
Ariel University,Israel,1
Aristotle University of Thessaloniki,Greece,0
Arizona Biomedical Research Commission,United States,0
Arizona Board of Regents,United States,0
Arizona Department of Health Services,United States,0
Arizona Space Grant Consortium,United States,0
Arizona State University,United States,0
Arizona-Nevada Academy of Science,United States,0
Arkansas Agricultural Experiment Station,United States,0
Arkansas Biosciences Institute,United States,0
"Arkansas High Performance Computing Center, University of Arkansas",United States,0
Arkansas Research Alliance,United States,2
Arkansas Science and Technology Authority,United States,0
Arkansas Soybean Promotion Board,United States,0
Arkansas Space Grant Consortium,United States,0
"Arkansas Water Resources Center, University of Arkansas",United States,0
Arkema,France,1
Arla Food for Health,Denmark,2
Arm,United Kingdom,1
"Armament Research, Development and Engineering Center",United States,0
Armand-Frappier Foundation,Canada,1
Armed Forces Health Surveillance Branch,United States,0
Armed Forces Institute of Regenerative Medicine,United States,0
"Armed Forces Radiobiology Research Institute, Uniformed Services University",United States,0
Armenian National Science and Education Fund,United States,1
Armstrong Flight Research Center,United States,0
Army Research Institute for the Behavioral and Social Sciences,United States,0
Army Research Laboratory,United States,0
Army Research Office,United States,0
Arnold Arboretum,United States,0
Arnold Ventures,United States,1
Arnold and Mabel Beckman Foundation,United States,1
Arnold and Mabel Beckman Initiative for Macular Research,United States,1
Arog Pharmaceuticals,United States,1
Array BioPharma,United States,1
Arrien Pharmaceuticals,United States,1
Arrowhead Pharmaceuticals,United States,1
Arthrex,United States,1
Arthritis Australia,Australia,0
Arthritis Foundation,United States,1
Arthritis National Research Foundation,United States,1
Arthritis New Zealand,New Zealand,0
Arthritis Research UK,United Kingdom,1
Arthritis Society,Canada,0
Arthur Foundation,United States,1
Arthur J. Schmitt Foundation,United States,1
